Reference, Value, Footprint, Datasheet
"C7","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C6","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C4","100n","Capacitor_SMD:C_1206_3216Metric","~"
"L1","10uH","Inductor_SMD:L_1206_3216Metric",""
"C11","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C12","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C13","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C14","100n","Capacitor_SMD:C_1206_3216Metric","~"
"R7","680","Resistor_SMD:R_1206_3216Metric","~"
"Y1","Crystal 12MHz","Crystal:Crystal_HC50_Vertical","~"
"C8","22-33p","Capacitor_SMD:C_1206_3216Metric","~"
"C9","22-33p","Capacitor_SMD:C_1206_3216Metric","~"
"J5","USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~"
"J4","USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~"
"J6","USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~"
"J3","USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~"
"C5","0.1-1u","Capacitor_SMD:C_1206_3216Metric","~"
"R5","10K-510K-1M","Resistor_SMD:R_1206_3216Metric","~"
"R4","100K","Resistor_SMD:R_1206_3216Metric","~"
"R3","1K","Resistor_SMD:R_1206_3216Metric","~"
"D2","LED GREEN","LED_SMD:LED_1206_3216Metric","~"
"R1","5K1","Resistor_SMD:R_1206_3216Metric","~"
"R2","10K","Resistor_SMD:R_1206_3216Metric","~"
"C2","1u","Capacitor_SMD:C_1206_3216Metric","~"
"C1","330uF","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"F1","500mA","Fuse:Fuse_1206_3216Metric","~"
"C18","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C17","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C16","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C15","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"J2","Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal","~"
"C10","10uF","Capacitor_SMD:C_1206_3216Metric","~"
"C3","10uF","Capacitor_SMD:C_1206_3216Metric","~"
"L4","10uH","Inductor_SMD:L_1206_3216Metric",""
"L5","10uH","Inductor_SMD:L_1206_3216Metric",""
"L3","10uH","Inductor_SMD:L_1206_3216Metric",""
"R6","10K","Resistor_SMD:R_1206_3216Metric","~"
"R10","47K","Resistor_SMD:R_1206_3216Metric","~"
"U2","AT24CS02-XHM","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf"
"C19","100n","Capacitor_SMD:C_1206_3216Metric","~"
"R9","10K","Resistor_SMD:R_1206_3216Metric","~"
"L6","10uH","Inductor_SMD:L_1206_3216Metric",""
"C24","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C23","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C22","100n","Capacitor_SMD:C_1206_3216Metric","~"
"C21","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"J1","USB_B_Micro","Connector_USB:USB_Micro-AB_Molex_47590-0001","~"
"L2","ferrite","Inductor_SMD:L_1206_3216Metric",""
"U3","AIC1526-0","Package_SO:SOP-8_3.9x4.9mm_P1.27mm",""
"C20","100n","Capacitor_SMD:C_1206_3216Metric","~"
"R14","10K","Resistor_SMD:R_1206_3216Metric","~"
"R13","10K","Resistor_SMD:R_1206_3216Metric","~"
"R12","100K","Resistor_SMD:R_1206_3216Metric","~"
"R11","100K","Resistor_SMD:R_1206_3216Metric","~"
"SW1","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"SW2","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"U4","AIC1526-0","Package_SO:SOP-8_3.9x4.9mm_P1.27mm",""
"C25","100n","Capacitor_SMD:C_1206_3216Metric","~"
"R18","10K","Resistor_SMD:R_1206_3216Metric","~"
"R17","10K","Resistor_SMD:R_1206_3216Metric","~"
"R16","100K","Resistor_SMD:R_1206_3216Metric","~"
"R15","100K","Resistor_SMD:R_1206_3216Metric","~"
"SW3","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"SW4","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"U1","GL850G-28pin","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
"J10","USB_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal","~"
"J11","USB_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal","~"
"J9","USB_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal","~"
"J8","USB_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal","~"
"J7","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
